BankCode,Bank Name,Branch,MICR,IFSC,Address,Location,NetWorth,DefaultBank,,,,,
3486,AU SMALL FINANCE BANK,HATHROL JAIPUR,302765006,AUBL0002404,PLOT NO C-6 HARIKISHAN  SOMANI MARG HATHROI AJMER ROAD  302001,JAIPUR,0,0,,,,,
3263,AU Small Finance Bank,AB Road Indore,452765001,AUBL0002313,AB Road Indore   999999,,,0,,,,,
3333,AU Small Finance Bank,Borivali Mumbai,400765007,AUBL0002341,Borivali Mumbai   999999,,,0,,,,,
3337,AU Small Finance Bank,Ahmednagar,414765002,AUBL0002356,Ahmednagar   999999,,,0,,,,,
3172,AU Small Finance Bank,Shamgarh,458765501,AUBL0002324,Shamgarh   999999,,,0,,,,,
2620,AU SMALL FINANCE BANK,BHAVNAGAR,364765001,AUBL0002156,"BHAVNAGAR PLOT 8B,SHOP NO 1 & 2 DAXINAMURTI SCHOOL GUJARAT 364002",GUJARAT,0,0,,,,,
3589,AU SMALL FINANCE BANK,Vaishali Nagar,302765005,AUBL0002206,Vaishali Nagar   999999,,,0,,,,,
3863,AU Small Finance Bank,LASHKAR DAL BAZAR,474765001,AUBL0002516,LASHKAR DAL BAZAR   999999,,,0,,,,,
3921,AU SMALL FINANCE BANK,Dhule Ganesh Plaza,424765001,AUBL0002358,Dhule Ganesh Plaza   999999,,,0,,,,,
3985,AU Small Finance Bank,Faizabad,123765053,AUBL0002416,Faizabad   999999,,,0,,,,,
4005,AU Small Finance Bank,HSR LAYOUT BRANCH,560765004,AUBL0002556,HSR LAYOUT BRANCH   999999,,,0,,,,,
4025,AU Small Finance Bank,Hira Panna Market Bhilwara,311765002,AUBL0002231,Hira Panna Market Bhilwara   999999,,,0,,,,,
4266,AU Small Finance Bank,Chhatarpur,471765001,AUBL0002325,Chhatarpur   999999,,,0,,,,,
4332,AU Small Finance Bank,Ghodewala Circle Kota,324765002,AUBL0002250,Ghodewala Circle Kota   999999,,,0,,,,,
4435,AU Small Finance Bank,BHUBANESWAR,751765002,AUBL0002496,BHUBANESWAR   999999,,,0,,,,,
4486,AU Small Finance Bank,SAKET,110765042,AUBL0002598,SAKET   999999,,,0,,,,,
4523,AU Small Finance Bank,KIRTI NAGAR,110765033,AUBL0002547,KIRTI NAGAR   999999,,,0,,,,,
4602,AU Small Finance Bank,VIKASPURI,110765036,AUBL0002567,VIKASPURI   999999,,,0,,,,,
4638,AU Small Finance Bank,Morbi,363765021,AUBL0002125,Morbi   999999,,,0,,,,,
7828,AU Small Finance Bank,Pali,306765002,AUBL0002277,Pali   999999,,,0,,,,,
7792,AU Small Finance Bank,GHATKOPAR EAST,400765015,AUBL0002533,GHATKOPAR EAST   999999,,,0,,,,,
7815,AU SMALL FINANCE BANK,MISTRY MANSION ,400765019,AUBL0002589,MUMBAI FORT  105 MG ROAD MISTRY MANSION   400023,FORT MUMBAI,0,0,,,,,
8150,AU Small Finance Bank,Malviya nagar Jaipur,302765011,AUBL0002208,Malviya nagar Jaipur   999999,,,0,,,,,
7051,AU Small Finance Bank,Dhamtari,493765001,AUBL0002335,Dhamtari   999999,,,0,,,,,
7185,AU Small Finance Bank,RAJARAJESHWARI NAGA.,560765006,AUBL0002639,RAJARAJESHWARI NAGA.   999999,,,0,,,,,
7266,AU SMALL FINANCE BANK,MANSAROVAR MADHYAM MARG,302765003,AUBL0002214,MANSAROVAR MADHYAM MARG   999999,,,0,,,,,
7277,AU Small Finance Bank,RAMDASPETHNAGPUR,440765003,AUBL0002520,RAMDASPETHNAGPUR   999999,,,0,,,,,
7416,AU Small Finance Bank,Karnal,132765102,AUBL0002113,Karnal   999999,,,0,,,,,
7600,AU Small Finance Bank,Vasai,400765008,AUBL0002343,Vasai   999999,,,0,,,,,
8832,AU Small Finance Bank,Nagpur,440765002,AUBL0002369,Nagpur   999999,,,0,,,,,
8934,AU Small Finance Bank,Jhunjhunu,333765002,AUBL0002184,Jhunjhunu   999999,,,0,,,,,
8288,AU Small Finance Bank,DWARAKA NAGAR VISAKHAPATNAM,530765002,AUBL0002621,DWARAKA NAGAR VISAKHAPATNAM   999999,,,0,,,,,
8370,AU Small Finance Bank,Jalna,431765052,AUBL0002360,Jalna   999999,,,0,,,,,
5385,AU Small Finance Bank,Himatnagar,383765001,AUBL0002139,Himatnagar   999999,,,0,,,,,
5688,AU Small Finance Bank,DALHOUSIE KOLKATA,700765002,AUBL0002501,DALHOUSIE KOLKATA   999999,,,0,,,,,
4711,AU SMALL FINANCE BANK,SURENDRANAGAR,363765001,AUBL0002151,CITY CENTRE SHOP NO 3-5 OPP M P SHAH ARTS & SCI COLLEGE  363002,GUJARAT,0,0,,,,,
4743,AU SMALL FINANCE BANK,GOPALPURA ,302765012,AUBL0002215,"GOPALPURA BYPASS JAIPUR GOPALPURA  PLOT NO 22 TO 25,91,92 GOPAL NAGAR A  302015",,0,0,,,,,
4852,AU SMALL FINANCE BANK,GURGAON SOHNA ROAD,110765011,AUBL0002403,GURGAON SOHNA ROAD   999999,,,0,,,,,
5030,AU Small Finance Bank,Latur,413765052,AUBL0002361,Latur   999999,,,0,,,,,
5144,AU Small Finance Bank,G S ROAD GUWAHATI,781765002,AUBL0002601,G S ROAD GUWAHATI   999999,,,0,,,,,
5215,AU Small Finance Bank,Kalwar Road Jaipur,302765015,AUBL0002444,Kalwar Road Jaipur   999999,,,0,,,,,
5980,AU Small Finance Bank,JAIPUR- MANSAROVAR,302765022,AUBL0002590,JAIPUR- MANSAROVAR   999999,,,0,,,,,
6428,AU Small Finance Bank,Bhuj,370765051,AUBL0002120,Bhuj   999999,,,0,,,,,
6591,AU Small Finance Bank,Asind,311765004,AUBL0002229,Asind   999999,,,0,,,,,
6808,AU Small Finance Bank,Dausa,303765002,AUBL0002165,Dausa   999999,,,0,,,,,
9699,AU Small Finance Bank,Pratap Nagar Jaipur,302765014,AUBL0002216,Pratap Nagar Jaipur   999999,,,0,,,,,
9863,AU Small Finance Bank,BAHADURGARH,124765052,AUBL0002545,BAHADURGARH   999999,,,0,,,,,
10024,AU Small Finance Bank,Ambabari Jaipur,302765008,AUBL0002163,Ambabari Jaipur   999999,,,0,,,,,
10897,AU Small Finance Bank,Pimpri,411765005,AUBL0002459,Pimpri   999999,,,0,,,,,
10964,AU Small Finance Bank,KOREGAON PARK PUNE,411765010,AUBL0002611,KOREGAON PARK PUNE   999999,,,0,,,,,
10976,AU SMALL FINANCE BANK,AHEMADABAD,380765006,AUBL0002153,AHEMADABAD   999999,,,0,,,,,
11004,AU Small Finance Bank,PATNA,800765002,AUBL0002607,PATNA   999999,,,0,,,,,
11185,AU Small Finance Bank,KORBA,495765301,AUBL0002336,"KORBA, PLOT NO 82, INDIRA COMPLEX TP NAGAR   495677",CHHATTISGARH,0,0,,,,,
11209,AU Small Finance Bank,Shimla,171765002,AUBL0002381,Shimla   999999,,,0,,,,,
11493,AU Small Finance Bank,MP Nagar Bhopal,462765001,AUBL0002299,MP Nagar Bhopal   999999,,,0,,,,,
11506,AU Small Finance Bank,Tonk,304765002,AUBL0002219,Tonk   999999,,,0,,,,,
11699,AU Small Finance Bank,Derawal Nagar Delhi,110765018,AUBL0002446,Derawal Nagar Delhi   999999,,,0,,,,,
11759,AU Small Finance Bank,RAJSAMAND-KANKROLI,313765003,AUBL0002236,RAJSAMAND-KANKROLI   999999,,,0,,,,,
12518,AU Small Finance Bank,Jalgaon,425765001,AUBL0002359,Jalgaon   999999,,,0,,,,,
13055,AU Small Finance Bank,GHAZIABAD-RAJ NAGAR,110765006,AUBL0002105,GHAZIABAD-RAJ NAGAR   999999,,,0,,,,,
13335,AU Small Finance Bank,Talwandi Circle Kota,324765003,AUBL0002251,Talwandi Circle Kota   999999,,,0,,,,,
13424,AU Small Finance Bank,KUDASAN,380765011,AUBL0002530,KUDASAN   999999,,,0,,,,,
13466,AU Small Finance Bank,Behror,301765004,AUBL0002191,Behror   999999,,,0,,,,,
13520,AU Small Finance Bank,Sonpat Stand Rohtak,124765002,AUBL0002440,Sonpat Stand Rohtak   999999,,,0,,,,,
13561,AU Small Finance Bank,"RAJKOT,BHAKTINAGAR",360765002,AUBL0002476,"RAJKOT,BHAKTINAGAR   999999",,,0,,,,,
13732,AU Small Finance Bank,Jetpur,360765061,AUBL0002123,Jetpur   999999,,,0,,,,,
13948,AU Small Finance Bank,Jawasiya,312765005,AUBL0002430,Jawasiya   999999,,,0,,,,,
13998,AU Small Finance Bank,Panipat,132765002,AUBL0002115,Panipat   999999,,,0,,,,,
14106,AU Small Finance Bank,ICON PLAZA NASHIK,422765003,AUBL0002473,ICON PLAZA NASHIK   999999,,,0,,,,,
14184,AU Small Finance Bank,PRATAPGARH-HIGH SCHOOL ROAD,312765003,AUBL0002235,PRATAPGARH-HIGH SCHOOL ROAD   999999,,,0,,,,,
14755,AU Small Finance Bank,Shahpura,303765011,AUBL0002200,Shahpura   999999,,,0,,,,,
15124,AU Small Finance Bank,Deesa,385765031,AUBL0002136,Deesa   999999,,,0,,,,,
15142,AU Small Finance Bank,Anasagar Road Ajmer,305765002,AUBL0002220,Anasagar Road Ajmer   999999,,,0,,,,,
15325,AU Small Finance Bank,PREET VIHAR,110765034,AUBL0002549,PREET VIHAR   999999,,,0,,,,,
15386,AU Small Finance Bank,Jaisalmer,345765002,AUBL0002294,Jaisalmer   999999,,,0,,,,,
16296,AU Small Finance Bank,LUCKNOW HAZRATGANJ,226765003,AUBL0002588,LUCKNOW HAZRATGANJ   999999,,,0,,,,,
16381,AU Small Finance Bank,SARAT BOSE RD,700765004,AUBL0002600,SARAT BOSE RD   999999,,,0,,,,,
16455,AU Small Finance Bank,Sangod,325765004,AUBL0002253,Sangod   999999,,,0,,,,,
16526,AU Small Finance Bank,Udaipurwati,333765005,AUBL0002188,Udaipurwati   999999,,,0,,,,,
16684,AU Small Finance Bank,PWD Colony Jodhpur,342765003,AUBL0002258,PWD Colony Jodhpur   999999,,,0,,,,,
16696,AU Small Finance Bank,BANSWARA-MOHAN COLONY,327765002,AUBL0002237,BANSWARA-MOHAN COLONY   999999,,,0,,,,,
16861,AU Small Finance Bank,Nashik,422765002,AUBL0002347,Nashik   999999,,,0,,,,,
16879,AU Small Finance Bank,Borsad,388765071,AUBL0002157,Borsad   999999,,,0,,,,,
16920,AU Small Finance Bank,MG ROAD INDORE,452765004,AUBL0002537,MG ROAD INDORE   999999,,,0,,,,,
17001,AU Small Finance Bank,Free Ganj Ujjain,456765001,AUBL0002319,Free Ganj Ujjain   999999,,,0,,,,,
17509,AU Small Finance Bank,AHMEDABAD SHAHIBAUG,380765015,AUBL0002603,AHMEDABAD SHAHIBAUG   999999,,,0,,,,,
17528,AU SMALL FINANCE BANK,AHMEDABAD PRAHLAD NAGAR,380765010,AUBL0002534,AHMEDABAD PRAHLAD NAGAR   999999,,,0,,,,,
17558,AU Small Finance Bank,Rohini Delhi,110765010,AUBL0002102,Rohini Delhi   999999,,,0,,,,,
17688,AU Small Finance Bank,Jalore,343765002,AUBL0002276,Jalore   999999,,,0,,,,,
17784,AU Small Finance Bank,Ankaleshwar,393765051,AUBL0002129,Ankaleshwar   999999,,,0,,,,,
17825,AU Small Finance Bank,Johari Bazar Jaipur,302765007,AUBL0002167,Johari Bazar Jaipur   999999,,,0,,,,,
17894,AU Small Finance Bank,NOIDA SECTOR,110765037,AUBL0002564,NOIDA SECTOR   999999,,,0,,,,,
17964,AU Small Finance Bank,Jalna Road Aurangabad,431765002,AUBL0002357,Jalna Road Aurangabad   999999,,,0,,,,,
18184,AU Small Finance Bank,Rani Bazar Bikaner,334765002,AUBL0002264,Rani Bazar Bikaner   999999,,,0,,,,,
18335,AU Small Finance Bank,BHOPAL ARERA COLONY,462765004,AUBL0002572,BHOPAL ARERA COLONY   999999,,,0,,,,,
18996,AU Small Finance Bank,DARYAGANJ,110765053,AUBL0002660,DARYAGANJ   999999,,,0,,,,,
19074,AU SMALL FINANCE BANK,DELHI PASCHIM VIHAR,110765017,AUBL0002448,DELHI PASCHIM VIHAR   999999,,,0,,,,,
19075,AU SMALL FINANCE BANK,SUKHAIPURA JAIPUR,302765001,AUBL0002011,SUKHAIPURA JAIPUR   999999,,,0,,,,,
19199,AU Small Finance Bank,Nawalgarh,333765006,AUBL0002185,Nawalgarh   999999,,,0,,,,,
19464,AU Small Finance Bank,JAGMAWALI,125765003,AUBL0002512,JAGMAWALI   999999,,,0,,,,,
19701,AU Small Finance Bank,Shyam Nagar Jaipur,302765016,AUBL0002445,Shyam Nagar Jaipur   999999,,,0,,,,,
19711,AU Small Finance Bank,HOWRAH,700765007,AUBL0002654,HOWRAH   999999,,,0,,,,,
19712,Axis Bank,GOMTI NAGAR,226211008,UTIB0001550,GOMTI NAGAR   999999,,,0,,,,,
19704,Axis Bank,"KHADAKPADA, KALYAN",400211078,UTIB0001153,"KHADAKPADA, KALYAN   999999",,,0,,,,,
19705,Axis Bank,"SECTOR 12B, DWARKA",110211143,UTIB0002173,"SECTOR 12B, DWARKA   999999",,,0,,,,,
19722,Axis Bank,KANJURMARG EAST,400211191,UTIB0004166,KANJURMARG EAST   999999,,,0,,,,,
19726,Axis Bank,CHAPRA,841211002,UTIB0001218,CHAPRA   999999,,,0,,,,,
19733,Axis Bank,ISLAMPUR,734211502,UTIB0002014,ISLAMPUR   999999,,,0,,,,,
19735,Axis Bank,MATHIKERE,560211117,UTIB0004052,MATHIKERE   999999,,,0,,,,,
19739,Axis Bank,THRISSUR,680211002,UTIB0000046,THRISSUR   999999,,,0,,,,,
19760,Axis Bank,MANDVI,370211101,UTIB0001935,MANDVI   999999,,,0,,,,,
19773,AXIS BANK,GURGAON HARYANA,110229249,ICIC0003875,SECTOR 82 BRANCH   122002,HARYANA,0,0,,,,,
19775,Axis Bank,DHULIAN,742211602,UTIB0003986,DHULIAN   999999,,,0,,,,,
19779,Axis Bank,SUJATHA NAGAR,530211015,UTIB0003380,SUJATHA NAGAR   999999,,,0,,,,,
19810,Axis Bank,INDIRA NAGAR [LUCKNOW],226211003,UTIB0000355,INDIRA NAGAR [LUCKNOW]   999999,,,0,,,,,
19814,Axis Bank,SARAI MEER AZAMGARH,276211004,UTIB0003401,SARAI MEER AZAMGARH   999999,,,0,,,,,
19815,Axis Bank,AGACAIM,403211008,UTIB0001169,AGACAIM   999999,,,0,,,,,
19812,Axis Bank,SONARI,831211005,UTIB0001230,SONARI   999999,,,0,,,,,
19821,Axis Bank,WAI,412211002,UTIB0001438,WAI   999999,,,0,,,,,
19825,Axis Bank,KORAMANGALA SIXTH BLOCK,560211091,UTIB0003407,KORAMANGALA SIXTH BLOCK   999999,,,0,,,,,
19833,Axis Bank,BIDHAN NAGAR,713211204,UTIB0002690,BIDHAN NAGAR   999999,,,0,,,,,
19835,Axis Bank,CIRCULAR ROAD NABHA,147211115,UTIB0004829,CIRCULAR ROAD NABHA   999999,,,0,,,,,
19548,Axis Bank,MINISTRY OF DEFENCE,110211210,UTIB0003328,MINISTRY OF DEFENCE   999999,,,0,,,,,
19559,Axis Bank,KOLAPAKKAM,600211123,UTIB0004494,KOLAPAKKAM   999999,,,0,,,,,
19560,AXIS BANK,LOUISWADI,400211125,UTIB0001963,LOUISWADI THANE  400604,THANE,0,0,,,,,
19571,Axis Bank,"HEWETT ROAD (LUCKNOW),UP",226211004,UTIB0000407,"HEWETT ROAD (LUCKNOW),UP   999999",,,0,,,,,
19572,Axis Bank,GUNJUR MAIN ROAD,560211129,UTIB0004291,GUNJUR MAIN ROAD   999999,,,0,,,,,
19582,Axis Bank,JAKHAN,248211015,UTIB0004383,JAKHAN   999999,,,0,,,,,
19589,Axis Bank,KAUSHAMBI,110211190,UTIB0003158,KAUSHAMBI   999999,,,0,,,,,
19605,Axis Bank,KRISHNANAGAR,741211103,UTIB0002829,KRISHNANAGAR   999999,,,0,,,,,
19620,Axis Bank,TRI NAGAR,110211086,UTIB0001150,TRI NAGAR   999999,,,0,,,,,
19627,Axis Bank,PASCHIM ENCLAVE,110211129,UTIB0001839,PASCHIM ENCLAVE   999999,,,0,,,,,
19631,Axis Bank,TUSURA,767211003,UTIB0004469,TUSURA   999999,,,0,,,,,
19636,Axis Bank,PANIHATI(WEST BENGAL),700211031,UTIB0000437,PANIHATI(WEST BENGAL)   999999,,,0,,,,,
19647,Axis Bank,JIAGANJ BRANCH,742211601,UTIB0002947,JIAGANJ BRANCH   999999,,,0,,,,,
19651,Axis Bank,PURASAWALKAM (CHENNAI),600211009,UTIB0000189,PURASAWALKAM (CHENNAI)   999999,,,0,,,,,
19657,Axis Bank,SAI BABA NAGAR,400211114,UTIB0001699,SAI BABA NAGAR   999999,,,0,,,,,
19655,Axis Bank,DOMMASANDRA,562211352,UTIB0004632,DOMMASANDRA   999999,,,0,,,,,
19668,Axis Bank,MIYAPUR,500211049,UTIB0001817,MIYAPUR   999999,,,0,,,,,
19674,Axis Bank,EON KHARADI,411211066,UTIB0004153,EON KHARADI   999999,,,0,,,,,
19680,AXIS BANK,JALNA (MAHARASHTRA),431211052,UTIB0000487,JALNA (MAHARASHTRA)   999999,,,0,,,,,
19462,Axis Bank,THIRUNINDRAVUR,600211121,UTIB0004303,THIRUNINDRAVUR   999999,,,0,,,,,
19479,Axis Bank,GANGAGHAT,208211009,UTIB0002691,GANGAGHAT   999999,,,0,,,,,
19448,Axis Bank,"SHASTRI MAIDAN, RAJKOT",360211004,UTIB0000631,"SHASTRI MAIDAN, RAJKOT   999999",,,0,,,,,
19414,Axis Bank,RANIA,125211211,UTIB0003005,RANIA   999999,,,0,,,,,
19422,Axis Bank,SIHORA,482211005,UTIB0003600,SIHORA   999999,,,0,,,,,
19435,Axis Bank,HANUMAN NAGAR,800211026,UTIB0003993,HANUMAN NAGAR   999999,,,0,,,,,
19490,Axis Bank,BIBWEWADI,411211047,UTIB0002952,BIBWEWADI   999999,,,0,,,,,
19498,Axis Bank,KASGANJ,207211003,UTIB0002686,KASGANJ   999999,,,0,,,,,
19501,Axis Bank,JAJMAU,208211007,UTIB0001879,JAJMAU   999999,,,0,,,,,
19503,Axis Bank,"LAJWANTI GARDEN, JANAK PURI",110211113,UTIB0001602,"LAJWANTI GARDEN, JANAK PURI   999999",,,0,,,,,
19523,AXIS BANK,LATUR,413211052,UTIB0000519,LATUR   999999,,,0,,,,,
19529,AXIS BANK,BELDANGA,742211004,UTIB0003969,GROUND FIRST FLOOR FLOOR STATION ROAD BELDANGA MUNICIPALITY PO PS BELDANGA  742133,WEST BENGAL,0,0,,,,,
19545,Axis Bank,STERLING ROAD,600211066,UTIB0002018,STERLING ROAD   999999,,,0,,,,,
19269,Axis Bank,VIKASPURI A BLK,110211182,UTIB0003082,VIKASPURI A BLK   999999,,,0,,,,,
19275,Axis Bank,"VIDHYADHAR NAGAR, JAIPUR",302211007,UTIB0000789,"VIDHYADHAR NAGAR, JAIPUR   999999",,,0,,,,,
19280,Axis Bank,KASIA,274211303,UTIB0005456,KASIA   999999,,,0,,,,,
19288,Axis Bank,M P ENCLAVE,110211148,UTIB0002438,M P ENCLAVE   999999,,,0,,,,,
19292,Axis Bank,"SECTOR-19,ROURKELA",769211004,UTIB0001769,"SECTOR-19,ROURKELA   999999",,,0,,,,,
19296,AXIS BANK,BAPUNAGAR,380211013,UTIB0000664,BAPUNAGAR   999999,,,0,,,,,
19298,Axis Bank,SHNATIGRAM TOWN SHIP ADALAJ,380211069,UTIB0003414,SHNATIGRAM TOWN SHIP ADALAJ   999999,,,0,,,,,
19301,Axis Bank,SOMESHWAR TEXTILE MARKET,395211047,UTIB0005139,SOMESHWAR TEXTILE MARKET   999999,,,0,,,,,
19315,Axis Bank,SECTOR ONE,110211174,UTIB0002951,SECTOR ONE   999999,,,0,,,,,
19331,Axis Bank,RAJAMPET,516211642,UTIB0001383,RAJAMPET   999999,,,0,,,,,
19332,Axis Bank,DHANORA,442211509,UTIB0004705,DHANORA   999999,,,0,,,,,
19333,Axis Bank,SUPAUL,852211102,UTIB0002153,SUPAUL   999999,,,0,,,,,
19349,Axis Bank,ULWE,400211151,UTIB0002917,ULWE   999999,,,0,,,,,
