BankCode,Bank Name,Branch,MICR,IFSC,Address,Location,NetWorth,DefaultBank,,,,,
7029,Canara Bank,GADAG,582015002,CNRB0000511,GADAG   999999,,,0,,,,,
7042,Canara Bank,"CCRT, DELHI",110015168,CNRB0002948,"CCRT, DELHI   999999",,,0,,,,,
7047,Canara Bank,PARBHANI,431015202,CNRB0005939,PARBHANI   999999,,,0,,,,,
7086,Canara Bank,PARTAPUR,250015050,CNRB0018566,PARTAPUR   999999,,,0,,,,,
7117,Canara Bank,RAIRANGPUR,757015102,CNRB0001868,RAIRANGPUR   999999,,,0,,,,,
7119,CANARA BANK,AHMEDABAD SABARMATI,380015015,CNRB0001414,AHMEDABAD SABARMATI GUJARAT  380005,GUJARAT,0,0,,,,,
7104,Canara Bank,VARANASI SME,221015006,CNRB0004753,VARANASI SME   999999,,,0,,,,,
7105,Canara Bank,"M P NAGAR, BHOPAL",462015005,CNRB0002073,"M P NAGAR, BHOPAL   999999",,,0,,,,,
7094,Canara Bank,"UDAYAMBAGH,BELGAUM",590015008,CNRB0001829,"UDAYAMBAGH,BELGAUM   999999",,,0,,,,,
7100,Canara Bank,GUNTAKAL,515015302,CNRB0000778,GUNTAKAL   999999,,,0,,,,,
7274,Canara Bank,LAHARTARA,221015008,CNRB0005502,LAHARTARA   999999,,,0,,,,,
7292,Canara Bank,SENDAMANGALAM,636015014,CNRB0001220,SENDAMANGALAM   999999,,,0,,,,,
7176,Canara Bank,THIRUPARANKUNDRAM MADURAI,625015151,CNRB0016219,THIRUPARANKUNDRAM MADURAI   999999,,,0,,,,,
7187,Canara Bank,SALEM JOHNSONPET,636015066,CNRB0016300,SALEM JOHNSONPET   999999,,,0,,,,,
7231,Canara Bank,BETTAIAH,845015102,CNRB0001433,BETTAIAH   999999,,,0,,,,,
9840,Canara Bank,PUNE RASTA PETH,411015059,CNRB0015331,PUNE RASTA PETH   999999,,,0,,,,,
9844,Canara Bank,JAITPUR,110015064,CNRB0004147,JAITPUR   999999,,,0,,,,,
9846,Canara Bank,DARYAPUR,444015252,CNRB0006321,DARYAPUR   999999,,,0,,,,,
9859,Canara Bank,IMPHAL,795015002,CNRB0003955,IMPHAL   999999,,,0,,,,,
9812,Canara Bank,KATHWADA,380015046,CNRB0004534,KATHWADA   999999,,,0,,,,,
9834,Canara Bank,DEORIA,274015001,CNRB0002662,DEORIA   999999,,,0,,,,,
9817,Canara Bank,BELWA BABA BAZAR,221015015,CNRB0006397,BELWA BABA BAZAR   999999,,,0,,,,,
9904,Canara Bank,BELLATTI,582015511,CNRB0000695,BELLATTI   999999,,,0,,,,,
9704,Canara Bank,"STATION ROAD, HUBLI",580015002,CNRB0000514,"STATION ROAD, HUBLI   999999",,,0,,,,,
9770,Canara Bank,"TRANSPORT NAGAR,AGRA",282015015,CNRB0001487,"TRANSPORT NAGAR,AGRA   999999",,,0,,,,,
9756,Canara Bank,VAISHALINAGAR,302015007,CNRB0002793,VAISHALINAGAR   999999,,,0,,,,,
9750,Canara Bank,"NR MOHALLA, MYSORE BRANCH",570015030,CNRB0005151,"NR MOHALLA, MYSORE BRANCH   999999",,,0,,,,,
9508,Canara Bank,"BAILAPPANAVARNAGAR,HUBLI",580015003,CNRB0001382,"BAILAPPANAVARNAGAR,HUBLI   999999",,,0,,,,,
9479,Canara Bank,"VYALIKAVAL, BANGALORE",560015066,CNRB0000417,"VYALIKAVAL, BANGALORE   999999",,,0,,,,,
9398,Canara Bank,"SANQUELI M,GOA",403015017,CNRB0000342,"SANQUELI M,GOA   999999",,,0,,,,,
9443,Canara Bank,PUNGANUR,517015662,CNRB0006609,PUNGANUR   999999,,,0,,,,,
9411,CANARA BANK,SURJADEVI SHUKLA CAMP,492015022,CNRB0017855,SURJADEVI SHUKLA CAMP   999999,,,0,,,,,
9549,Canara Bank,BAIRAGARH CHICHLI,462015010,CNRB0002634,BAIRAGARH CHICHLI   999999,,,0,,,,,
9660,Canara Bank,JALORIGATE MAIN,342015002,CNRB0001088,JALORIGATE MAIN   999999,,,0,,,,,
10329,Canara Bank,"BAJIRAO KATRA MAIN,MIRZAPUR",231015002,CNRB0001457,"BAJIRAO KATRA MAIN,MIRZAPUR   999999",,,0,,,,,
10435,Canara Bank,GUNDLUPET,571015652,CNRB0004792,GUNDLUPET   999999,,,0,,,,,
10377,Canara Bank,KUSHINAGAR II,274015512,CNRB0018639,KUSHINAGAR II   999999,,,0,,,,,
10411,Canara Bank,KIDDERPORE,700015017,CNRB0000149,KIDDERPORE   999999,,,0,,,,,
10485,Canara Bank,DAV PUBLIC SCHOOL DELHI,110015147,CNRB0008597,DAV PUBLIC SCHOOL DELHI   999999,,,0,,,,,
10497,Canara Bank,"SWAROOP NAGAR,KANPUR",208015007,CNRB0002650,"SWAROOP NAGAR,KANPUR   999999",,,0,,,,,
10007,Canara Bank,KHAR PASCHIMSAI,721015952,CNRB0005822,KHAR PASCHIMSAI   999999,,,0,,,,,
9978,Canara Bank,SME VIJAYAWADA,520015013,CNRB0004470,SME VIJAYAWADA   999999,,,0,,,,,
10019,Canara Bank,HOWRAH,700015030,CNRB0000189,HOWRAH   999999,,,0,,,,,
10066,Canara Bank,TURBHE,400015103,CNRB0001946,TURBHE   999999,,,0,,,,,
10107,Canara Bank,EAST WEST INSTITUTIONS BANGALORE,560015156,CNRB0003152,EAST WEST INSTITUTIONS BANGALORE   999999,,,0,,,,,
10113,Canara Bank,"KEMPEGOWDANAGAR, BANGALORE",560015029,CNRB0000789,"KEMPEGOWDANAGAR, BANGALORE   999999",,,0,,,,,
10154,Canara Bank,HARAPANAHALLI II,577015014,CNRB0010610,HARAPANAHALLI II   999999,,,0,,,,,
10166,Canara Bank,"SSI BRANCH,ALIGARH",202015004,CNRB0002375,"SSI BRANCH,ALIGARH   999999",,,0,,,,,
10210,Canara Bank,"BERASIA ROAD, BHOPAL",462015002,CNRB0000360,"BERASIA ROAD, BHOPAL   999999",,,0,,,,,
10229,Canara Bank,MANILA,263015099,CNRB0002188,MANILA   999999,,,0,,,,,
10612,Canara Bank,THAZAMBUR,600015234,CNRB0016495,THAZAMBUR   999999,,,0,,,,,
10645,Canara Bank,KAMARDIHA,757015757,CNRB0001817,KAMARDIHA   999999,,,0,,,,,
10662,Canara Bank,NAGPUR MANISH NAGAR,440015042,CNRB0015274,NAGPUR MANISH NAGAR   999999,,,0,,,,,
10750,Canara Bank,HATHIA,811015998,CNRB0001742,HATHIA   999999,,,0,,,,,
10812,Canara Bank,KARUKACHAL,686015726,CNRB0003478,KARUKACHAL   999999,,,0,,,,,
11051,Canara Bank,SAGAR B H ROAD,577015403,CNRB0004648,SAGAR B H ROAD   999999,,,0,,,,,
11082,Canara Bank,KARIMNAGAR,505015002,CNRB0002498,KARIMNAGAR   999999,,,0,,,,,
10982,Canara Bank,HYDERABAD NAGOLE,500015089,CNRB0006488,HYDERABAD NAGOLE   999999,,,0,,,,,
10987,Canara Bank,NUNERA NAGLA JAGDEO,202015051,CNRB0003685,NUNERA NAGLA JAGDEO   999999,,,0,,,,,
10919,Canara Bank,GORAKHPUR PADRI BAZAR,273015007,CNRB0005127,GORAKHPUR PADRI BAZAR   999999,,,0,,,,,
10909,Canara Bank,NASIK CITY MAIN,422015002,CNRB0000240,NASIK CITY MAIN   999999,,,0,,,,,
10915,Canara Bank,MAHARAJGANJ II,273015208,CNRB0018642,MAHARAJGANJ II   999999,,,0,,,,,
10881,Canara Bank,"BAGALKUNTE, BANGALORE",560015145,CNRB0002891,"BAGALKUNTE, BANGALORE   999999",,,0,,,,,
10832,Canara Bank,BHOPAL AYODHYA BYPASS,462015026,CNRB0005104,BHOPAL AYODHYA BYPASS   999999,,,0,,,,,
10834,Canara Bank,"CONTONMENT, TRIVANDRUM",695015003,CNRB0000819,"CONTONMENT, TRIVANDRUM   999999",,,0,,,,,
11220,Canara Bank,UJJAIN,456015002,CNRB0000296,UJJAIN   999999,,,0,,,,,
11130,Canara Bank,BHIMTALLA PRATAPPUR,721015701,CNRB0001804,BHIMTALLA PRATAPPUR   999999,,,0,,,,,
11391,Canara Bank,SATHOSHPUR,700015032,CNRB0001753,SATHOSHPUR   999999,,,0,,,,,
11365,Canara Bank,KANURU,520015021,CNRB0013355,KANURU   999999,,,0,,,,,
11322,Canara Bank,RAIPUR SHANKAR NAGAR,492015014,CNRB0005732,RAIPUR SHANKAR NAGAR   999999,,,0,,,,,
11300,Canara Bank,NAKHARA,754015502,CNRB0003524,NAKHARA   999999,,,0,,,,,
11613,Canara Bank,YAMUNANAGAR,135015002,CNRB0002060,YAMUNANAGAR   999999,,,0,,,,,
11619,Canara Bank,CHIKHALI,629015019,CNRB0015335,CHIKHALI   999999,,,0,,,,,
11652,Canara Bank,SANTHAMAGALUR,523015040,CNRB0013670,SANTHAMAGALUR   999999,,,0,,,,,
11567,Canara Bank,JNTU HYDERABAD,500015080,CNRB0006026,JNTU HYDERABAD   999999,,,0,,,,,
11548,Canara Bank,"MAHADWAR ROAD,BELGAUM",590015009,CNRB0002537,"MAHADWAR ROAD,BELGAUM   999999",,,0,,,,,
11576,Canara Bank,GOA ARPORA,403015080,CNRB0017224,GOA ARPORA   999999,,,0,,,,,
11560,Canara Bank,BANNUR ROAD MANDYA,571015503,CNRB0005300,BANNUR ROAD MANDYA   999999,,,0,,,,,
11457,Canara Bank,JABALPUR VIJAY NAGAR,482015003,CNRB0002898,JABALPUR VIJAY NAGAR   999999,,,0,,,,,
11508,Canara Bank,SUJANPUR,145015006,CNRB0006213,SUJANPUR   999999,,,0,,,,,
11484,Canara Bank,CHANNAGIRI ROAD,577015211,CNRB0001063,CHANNAGIRI ROAD   999999,,,0,,,,,
11499,Canara Bank,SILVASSA,396015111,CNRB0002565,SILVASSA   999999,,,0,,,,,
11826,Canara Bank,DHARIWAL,143015602,CNRB0004597,DHARIWAL   999999,,,0,,,,,
11797,Canara Bank,ARAMBAGH,712015102,CNRB0004400,ARAMBAGH   999999,,,0,,,,,
11775,Canara Bank,KUNIGAL,572015524,CNRB0000527,KUNIGAL   999999,,,0,,,,,
11766,Canara Bank,"AMU, ALIGARH",202015013,CNRB0005247,"AMU, ALIGARH   999999",,,0,,,,,
11742,Canara Bank,HUBBALLI NEHRU NAGAR,580015022,CNRB0011243,HUBBALLI NEHRU NAGAR   999999,,,0,,,,,
11686,Canara Bank,PERMUDE,575015030,CNRB0000759,PERMUDE   999999,,,0,,,,,
11952,Canara Bank,"S.R.NAGAR,HYDERABAD",500015046,CNRB0002705,"S.R.NAGAR,HYDERABAD   999999",,,0,,,,,
11889,Canara Bank,TRIVANDRUM EDAPAZHANJI,695015053,CNRB0006199,TRIVANDRUM EDAPAZHANJI   999999,,,0,,,,,
11840,Canara Bank,SURAT NANPURA II,395015021,CNRB0017176,SURAT NANPURA II   999999,,,0,,,,,
11850,Canara Bank,CURCHOREM,403015029,CNRB0003436,CURCHOREM   999999,,,0,,,,,
12162,Canara Bank,"CHOPASANI ROAD,JODHPUR",342015003,CNRB0002140,"CHOPASANI ROAD,JODHPUR   999999",,,0,,,,,
12149,Canara Bank,BELAGAVI SHAHPUR II,590015020,CNRB0010503,BELAGAVI SHAHPUR II   999999,,,0,,,,,
12143,Canara Bank,VIJAYAWADA SIDDHARTHA NAGAR,520015025,CNRB0013365,VIJAYAWADA SIDDHARTHA NAGAR   999999,,,0,,,,,
12069,Canara Bank,"G B ROAD (MAIN),GAYA",823015002,CNRB0000257,"G B ROAD (MAIN),GAYA   999999",,,0,,,,,
12067,CANARA BANK,LUCKNOW GOMTINAGAR EXTN,226015029,CNRB0005522,LUCKNOW GOMTINAGAR EXTN   999999,,,0,,,,,
12017,Canara Bank,MIRAJ,629015019,CNRB0015391,MIRAJ   999999,,,0,,,,,
12012,Canara Bank,TUPUDANA,834015509,CNRB0005229,TUPUDANA   999999,,,0,,,,,
12761,Canara Bank,FARIDABAD CHARMWOOD,110015560,CNRB0019254,FARIDABAD CHARMWOOD   999999,,,0,,,,,
12776,Canara Bank,"PASCHIMVIHAR S S B, NEW DELHI",110015132,CNRB0002706,"PASCHIMVIHAR S S B, NEW DELHI   999999",,,0,,,,,
12778,Canara Bank,MAKSI,465015504,CNRB0005958,MAKSI   999999,,,0,,,,,
12852,Canara Bank,ARRAH,802015102,CNRB0000376,ARRAH   999999,,,0,,,,,
12609,Canara Bank,"PADMANABHANAGAR, BANGALORE",560015119,CNRB0002512,"PADMANABHANAGAR, BANGALORE   999999",,,0,,,,,
12670,Canara Bank,PUNE CHINCHWAD BAJAJ AUTO LTD,411015062,CNRB0015341,PUNE CHINCHWAD BAJAJ AUTO LTD   999999,,,0,,,,,
12314,Canara Bank,SILIGURI,734015002,CNRB0002432,SILIGURI   999999,,,0,,,,,
12377,Canara Bank,HALGE,581015526,CNRB0000674,HALGE   999999,,,0,,,,,
12528,CANARA BANK,INDORE RAJWADA CHOWK MAIN,452015030,CNRB0017800,29 BY 30 SHIV VILAS PALACE RAJWADA CHOWK INDORE INDORE   452007,MADHYA PRADESH,0,0,,,,,
12520,Canara Bank,"ISANPUR, AHMEDABAD",380015022,CNRB0002709,"ISANPUR, AHMEDABAD   999999",,,0,,,,,
12427,Canara Bank,DAHEJ,392015071,CNRB0003310,DAHEJ   999999,,,0,,,,,
12421,Canara Bank,"KASTURABANAGAR, CHENNAI",600015019,CNRB0000942,"KASTURABANAGAR, CHENNAI   999999",,,0,,,,,
12424,Canara Bank,THIRUVANANTHAPURAM VELLAYAMBAL,695015908,CNRB0014019,THIRUVANANTHAPURAM VELLAYAMBAL   999999,,,0,,,,,
13046,Canara Bank,"MAVOOR ROAD,CALICUT",673015009,CNRB0002772,"MAVOOR ROAD,CALICUT   999999",,,0,,,,,
13041,Canara Bank,CHANDANNAGAR,700015087,CNRB0004979,CHANDANNAGAR   999999,,,0,,,,,
13029,Canara Bank,SIRSI CITY MUNICIPAL COUNCIL,581015416,CNRB0010357,SIRSI CITY MUNICIPAL COUNCIL   999999,,,0,,,,,
12980,Canara Bank,VISAKHAPATNAM MAHARANIPETA,530015028,CNRB0006209,VISAKHAPATNAM MAHARANIPETA   999999,,,0,,,,,
12963,Canara Bank,DHULE,424015001,CNRB0000222,DHULE   999999,,,0,,,,,
12911,Canara Bank,RAYA II,281015033,CNRB0018535,RAYA II   999999,,,0,,,,,
12882,Canara Bank,KAUSA MUMBRA,400015166,CNRB0005079,KAUSA MUMBRA   999999,,,0,,,,,
13313,Canara Bank,"MURBAD ROAD,KALYAN",400015088,CNRB0000230,"MURBAD ROAD,KALYAN   999999",,,0,,,,,
13302,Canara Bank,GURDASPUR,143015202,CNRB0001402,GURDASPUR   999999,,,0,,,,,
13298,Canara Bank,BELAGAVI MARUTHI GALLI MAIN,590015018,CNRB0010500,BELAGAVI MARUTHI GALLI MAIN   999999,,,0,,,,,
13299,Canara Bank,KALWA,400015082,CNRB0000217,KALWA   999999,,,0,,,,,
13300,Canara Bank,GORAKHPUR VIKAS NAGAR LACHIPUR,273015014,CNRB0006399,GORAKHPUR VIKAS NAGAR LACHIPUR   999999,,,0,,,,,
13381,Canara Bank,KURNOOL,518015002,CNRB0000661,KURNOOL   999999,,,0,,,,,
13370,Canara Bank,RASMEDA,491015003,CNRB0004043,RASMEDA   999999,,,0,,,,,
13413,Canara Bank,MUZAFFARNAGAR MEERUT ROAD,251015015,CNRB0018708,MUZAFFARNAGAR MEERUT ROAD   999999,,,0,,,,,
13281,Canara Bank,KASHMERE GATE DELHI,110015019,CNRB0000389,KASHMERE GATE DELHI   999999,,,0,,,,,
13283,Canara Bank,KHANPUR,110015228,CNRB0005120,KHANPUR   999999,,,0,,,,,
13260,Canara Bank,KHERAGARH,283015096,CNRB0000354,KHERAGARH   999999,,,0,,,,,
13195,Canara Bank,"VIDYA NAGAR,DAVANGERE",577015007,CNRB0001813,"VIDYA NAGAR,DAVANGERE   999999",,,0,,,,,
13189,Canara Bank,SIYANA,245015029,CNRB0018952,SIYANA   999999,,,0,,,,,
13697,Canara Bank,JEHANABAD,804015002,CNRB0003289,JEHANABAD   999999,,,0,,,,,
13698,Canara Bank,GORAKHPUR BASHARATPUR,273015013,CNRB0006627,GORAKHPUR BASHARATPUR   999999,,,0,,,,,
13661,Canara Bank,"SASTHAMANGALAM, TRIVANDRUM",695015008,CNRB0000821,"SASTHAMANGALAM, TRIVANDRUM   999999",,,0,,,,,
13601,Canara Bank,"CIRCULAR ROAD MAIN , SIRSA",125015002,CNRB0001403,"CIRCULAR ROAD MAIN , SIRSA   999999",,,0,,,,,
13628,Canara Bank,"EXHIBITION ROAD, PATNA",800015003,CNRB0002004,"EXHIBITION ROAD, PATNA   999999",,,0,,,,,
13634,Canara Bank,CHOTTO DAULATPUR,721015702,CNRB0004418,CHOTTO DAULATPUR   999999,,,0,,,,,
13570,Canara Bank,ASANSOL BURANPUR,713015005,CNRB0019701,ASANSOL BURANPUR   999999,,,0,,,,,
13549,Canara Bank,"LAGGERE ,BANGALORE",560015185,CNRB0003849,"LAGGERE ,BANGALORE   999999",,,0,,,,,
13534,Canara Bank,PRODDATUR GANDHI ROAD,516015104,CNRB0006606,PRODDATUR GANDHI ROAD   999999,,,0,,,,,
13512,Canara Bank,"CHICKPET,BANGALORE",560015011,CNRB0000406,"CHICKPET,BANGALORE   999999",,,0,,,,,
13496,Canara Bank,TIRORA,441015507,CNRB0006077,TIRORA   999999,,,0,,,,,
13531,Canara Bank,INDORE ANNAPOORNA,452015014,CNRB0004777,INDORE ANNAPOORNA   999999,,,0,,,,,
13463,Canara Bank,"MURALINAGAR,VISHAKHAPATNAM",530015011,CNRB0002958,"MURALINAGAR,VISHAKHAPATNAM   999999",,,0,,,,,
13989,Canara Bank,PANIKHAITI,781015509,CNRB0017371,PANIKHAITI   999999,,,0,,,,,
13897,Canara Bank,"MADIWALA,BANGALORE",560015039,CNRB0001074,"MADIWALA,BANGALORE   999999",,,0,,,,,
13875,Canara Bank,"RAJA BAZAAR,PATNA",800015013,CNRB0002519,"RAJA BAZAAR,PATNA   999999",,,0,,,,,
13867,Canara Bank,DELHI ADARSH NAGAR II,110015534,CNRB0019165,DELHI ADARSH NAGAR II   999999,,,0,,,,,
13929,Canara Bank,SAHNEWAL,141015015,CNRB0004203,SAHNEWAL   999999,,,0,,,,,
13905,Canara Bank,NAGPUR LAW COLLEGE SQUARE,440015032,CNRB0015250,NAGPUR LAW COLLEGE SQUARE   999999,,,0,,,,,
13849,Canara Bank,BALICHANDRAPUR,754015010,CNRB0017263,BALICHANDRAPUR   999999,,,0,,,,,
13761,Canara Bank,MERTA CITY,341015101,CNRB0003378,MERTA CITY   999999,,,0,,,,,
13721,Canara Bank,HUBBALLI VISWESHWARNAGAR,580015017,CNRB0011204,HUBBALLI VISWESHWARNAGAR   999999,,,0,,,,,
13734,Canara Bank,GOMARDIH MINES,770015099,CNRB0001498,GOMARDIH MINES   999999,,,0,,,,,
14850,Canara Bank,DULIA JAN,786015302,CNRB0002449,DULIA JAN   999999,,,0,,,,,
14884,Canara Bank,BHANIYAWALA,248015020,CNRB0003552,BHANIYAWALA   999999,,,0,,,,,
14862,Canara Bank,"SRINAGAR,SIWAN",841015203,CNRB0003373,"SRINAGAR,SIWAN   999999",,,0,,,,,
14857,Canara Bank,BARAMUNDA,751015032,CNRB0017995,BARAMUNDA   999999,,,0,,,,,
14797,Canara Bank,BAYAD,383015111,CNRB0004536,BAYAD   999999,,,0,,,,,
14778,Canara Bank,"MARKET(MAIN),DHARWAR",580015302,CNRB0000509,"MARKET(MAIN),DHARWAR   999999",,,0,,,,,
14762,Canara Bank,"KOLAR ROAD SAVINGS, BHOPAL",462015007,CNRB0002626,"KOLAR ROAD SAVINGS, BHOPAL   999999",,,0,,,,,
14693,Canara Bank,RAIKOT,141015302,CNRB0004605,RAIKOT   999999,,,0,,,,,
14653,Canara Bank,"ISLAMIAH COLLEGE EXT COUNTER,VANIYAMBADI",635015203,CNRB0008539,"ISLAMIAH COLLEGE EXT COUNTER,VANIYAMBADI   999999",,,0,,,,,
14655,Canara Bank,"NEELAMBUR,COIMBATORE",641015039,CNRB0003557,"NEELAMBUR,COIMBATORE   999999",,,0,,,,,
14602,Canara Bank,AMBIKANAGAR,581015556,CNRB0010330,AMBIKANAGAR   999999,,,0,,,,,
15051,Canara Bank,MADANAPALLE,517015202,CNRB0002371,MADANAPALLE   999999,,,0,,,,,
15101,Canara Bank,BAGEPALLI,561015095,CNRB0000925,BAGEPALLI   999999,,,0,,,,,
15174,Canara Bank,MADHOPUR,845015505,CNRB0006270,MADHOPUR   999999,,,0,,,,,
15175,Canara Bank,"CDA , CUTTACK",753015007,CNRB0004918,"CDA , CUTTACK   999999",,,0,,,,,
15119,Canara Bank,DORAHA,141015016,CNRB0004709,DORAHA   999999,,,0,,,,,
15031,Canara Bank,PUTTAPAKA,508015504,CNRB0003881,PUTTAPAKA   999999,,,0,,,,,
14988,Canara Bank,"KENGERI SAT TOWN,BANGALORE",560015142,CNRB0002850,"KENGERI SAT TOWN,BANGALORE   999999",,,0,,,,,
14558,Canara Bank,JENA MORE,827015006,CNRB0003707,JENA MORE   999999,,,0,,,,,
14584,Canara Bank,JAKHALABANDHA,782015508,CNRB0017342,JAKHALABANDHA   999999,,,0,,,,,
14455,CANARA BANK,SME BR HYD KUKATPALLY,500015038,CNRB0002427,SME BR HYD KUKATPALLY   500072,TELANGANA,0,0,,,,,
14328,Canara Bank,VELLALORE,641015051,CNRB0004382,VELLALORE   999999,,,0,,,,,
14318,Canara Bank,KUNDAPUR VADERAHOBLI,576015217,CNRB0010221,KUNDAPUR VADERAHOBLI   999999,,,0,,,,,
14077,Canara Bank,PANIHATI SODEPUR,700015095,CNRB0006241,PANIHATI SODEPUR   999999,,,0,,,,,
14053,Canara Bank,"CUTTACK ROAD,BHUBANESHWAR",751015003,CNRB0001617,"CUTTACK ROAD,BHUBANESHWAR   999999",,,0,,,,,
14006,Canara Bank,MOODUBELLE,576015504,CNRB0000639,MOODUBELLE   999999,,,0,,,,,
14273,Canara Bank,KADRABAD,246015610,CNRB0018641,KADRABAD   999999,,,0,,,,,
14249,Canara Bank,CHINNAMANUR,625015103,CNRB0001004,CHINNAMANUR   999999,,,0,,,,,
14166,Canara Bank,"GAJUWAKA BR,VISHAKAPATNAM",530015008,CNRB0002609,"GAJUWAKA BR,VISHAKAPATNAM   999999",,,0,,,,,
14188,Canara Bank,BANGALORE INTERNATIONAL AIRPORT BRANCH,560015151,CNRB0003025,BANGALORE INTERNATIONAL AIRPORT BRANCH   999999,,,0,,,,,
14183,CANARA BANK,RAIPUR (MAIN)(,492015002,CNRB0000381,RAIPUR (MAIN)(   999999,,,0,,,,,
14197,Canara Bank,KATHGAL,581015658,CNRB0010346,KATHGAL   999999,,,0,,,,,
15523,Canara Bank,SONKATCH,455015501,CNRB0005559,SONKATCH   999999,,,0,,,,,
15488,Canara Bank,KADEKAR,576015033,CNRB0010116,KADEKAR   999999,,,0,,,,,
15612,Canara Bank,"RAJARHAT, NEW TOWN, 24 PARAGANAS DIST",700015051,CNRB0003267,"RAJARHAT, NEW TOWN, 24 PARAGANAS DIST   999999",,,0,,,,,
15603,Canara Bank,"CAMP M G ROAD, PUNE",411015003,CNRB0000316,"CAMP M G ROAD, PUNE   999999",,,0,,,,,
15763,Canara Bank,ARSIKERE II,573015003,CNRB0011401,ARSIKERE II   999999,,,0,,,,,
15275,CANARA BANK,RAJENDRANAGAR,243015005,CNRB0002838,RAJENDRANAGAR   999999,,,0,,,,,
15227,Canara Bank,"SSI BRANCH,SHIMOGA",577015206,CNRB0002437,"SSI BRANCH,SHIMOGA   999999",,,0,,,,,
15220,Canara Bank,ADUTHURAI,612015004,CNRB0001202,ADUTHURAI   999999,,,0,,,,,
15338,Canara Bank,"MADHUNAGAR,VIJAYAWADA",520015005,CNRB0001620,"MADHUNAGAR,VIJAYAWADA   999999",,,0,,,,,
15383,Canara Bank,BIJAPUR,586015002,CNRB0000504,BIJAPUR   999999,,,0,,,,,
15381,Canara Bank,GUBBI,572015537,CNRB0003472,GUBBI   999999,,,0,,,,,
15454,Canara Bank,"DOMLUR, BANGALORE",560015164,CNRB0003220,"DOMLUR, BANGALORE   999999",,,0,,,,,
15438,Canara Bank,PADRAUNA KUSHI NAGAR,274015102,CNRB0006694,PADRAUNA KUSHI NAGAR   999999,,,0,,,,,
15412,Canara Bank,LAWAN,303015080,CNRB0018322,LAWAN   999999,,,0,,,,,
15415,Canara Bank,BHADRAK,756015102,CNRB0003141,BHADRAK   999999,,,0,,,,,
15939,Canara Bank,BALODA BAZAR,493015151,CNRB0005147,BALODA BAZAR   999999,,,0,,,,,
15928,Canara Bank,SARASWATI CHOWK,413015003,CNRB0000276,SARASWATI CHOWK   999999,,,0,,,,,
15973,Canara Bank,KATNI III,483015003,CNRB0017820,KATNI III   999999,,,0,,,,,
15976,Canara Bank,BHUSAWAL TOWN,425015101,CNRB0015201,BHUSAWAL TOWN   999999,,,0,,,,,
15981,Canara Bank,FARIDABAD SME,110015325,CNRB0006145,FARIDABAD SME   999999,,,0,,,,,
15899,Canara Bank,"ZADESHESHAR ROAD,BHARUCH",392015002,CNRB0003278,"ZADESHESHAR ROAD,BHARUCH   999999",,,0,,,,,
15905,Canara Bank,"SOUTH GANDHI MAIDAN (MAIN), PATNA",800015002,CNRB0000352,"SOUTH GANDHI MAIDAN (MAIN), PATNA   999999",,,0,,,,,
15824,Canara Bank,"HDMC, DHARWAR",580015306,CNRB0008509,"HDMC, DHARWAR   999999",,,0,,,,,
15826,Canara Bank,"LOHAMANDI, AGRA",282015009,CNRB0000378,"LOHAMANDI, AGRA   999999",,,0,,,,,
16197,CANARA BANK,ATTAPUR BRANCH,500015092,CNRB0006747,ATTAPUR BRANCH   999999,,,0,,,,,
16235,Canara Bank,BANSCHATAR,742015007,CNRB0019564,BANSCHATAR   999999,,,0,,,,,
16237,Canara Bank,YADAVANNE,572015012,CNRB0012003,YADAVANNE   999999,,,0,,,,,
16249,Canara Bank,SPECIALISED SME BRANCH ALIGARH MAIN II,202015021,CNRB0018510,SPECIALISED SME BRANCH ALIGARH MAIN II   999999,,,0,,,,,
16269,Canara Bank,"RAMDAYALU NAGAR, MUZAFFARPUR",842015004,CNRB0008622,"RAMDAYALU NAGAR, MUZAFFARPUR   999999",,,0,,,,,
16258,Canara Bank,"GIRIDIH, DIST HQ",815015002,CNRB0003229,"GIRIDIH, DIST HQ   999999",,,0,,,,,
16282,Canara Bank,SHEKHUPUR JHAKDI,244015809,CNRB0019430,SHEKHUPUR JHAKDI   999999,,,0,,,,,
16286,Canara Bank,"J P NAGAR 7TH PHASE, BANGALORE",560015159,CNRB0003197,"J P NAGAR 7TH PHASE, BANGALORE   999999",,,0,,,,,
17250,Canara Bank,KALAPATHAR,754015505,CNRB0004136,KALAPATHAR   999999,,,0,,,,,
17232,Canara Bank,KARIMNAGAR II,505015004,CNRB0013300,KARIMNAGAR II   999999,,,0,,,,,
17267,Canara Bank,"IISC, BANGALORE",560015023,CNRB0000683,"IISC, BANGALORE   999999",,,0,,,,,
17309,Canara Bank,ULUNDURPET,605015020,CNRB0003503,ULUNDURPET   999999,,,0,,,,,
17338,Canara Bank,MANJRI KHURD,411015040,CNRB0003775,MANJRI KHURD   999999,,,0,,,,,
17389,Canara Bank,LOHARDAGA,835015002,CNRB0003374,LOHARDAGA   999999,,,0,,,,,
17407,Canara Bank,NAGDA,456015101,CNRB0005564,NAGDA   999999,,,0,,,,,
17404,Canara Bank,FARIDABAD SANJAY COLONY II,110015549,CNRB0019260,FARIDABAD SANJAY COLONY II   999999,,,0,,,,,
17410,Canara Bank,"KHAMLA,NAGPUR",440015009,CNRB0002810,"KHAMLA,NAGPUR   999999",,,0,,,,,
